"species_id","hindfoot_length","hindfoot_half"
"PF",15,7.5
"PF",16,8
"PF",20,10
"PF",14,7
"PE",18,9
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",22,11
"PE",22,11
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",18,9
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",19,9.5
"PE",22,11
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",17,8.5
"PE",18,9
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",18,9
"PE",21,10.5
"PE",19,9.5
"PE",19,9.5
"PE",21,10.5
"PE",18,9
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",19,9.5
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",22,11
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",19,9.5
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",22,11
"PE",20,10
"PE",22,11
"PE",21,10.5
"PE",22,11
"PE",22,11
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",17,8.5
"PE",12,6
"PE",16,8
"PE",22,11
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",22,11
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",19,9.5
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",21,10.5
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",22,11
"PE",22,11
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",18,9
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",19,9.5
"PE",19,9.5
"PE",21,10.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",19,9.5
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",21,10.5
"PE",19,9.5
"PE",19,9.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",20,10
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"SH",27,13.5
"SH",25,12.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",19,9.5
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",19,9.5
"OT",18,9
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",22,11
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",20,10
"DO",27,13.5
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",20,10
"OL",22,11
"OL",20,10
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",21,10.5
"OL",19,9.5
"RM",14,7
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",13,6.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",15,7.5
"RM",15,7.5
"RM",18,9
"RM",17,8.5
"RM",17,8.5
"RM",20,10
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",16,8
"RM",16,8
"RM",18,9
"RM",18,9
"RM",16,8
"RM",15,7.5
"RM",12,6
"RM",16,8
"RM",18,9
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",18,9
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",16,8
"RM",18,9
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",19,9.5
"RM",19,9.5
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",12,6
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",18,9
"RM",16,8
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",14,7
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",14,7
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",15,7.5
"RM",15,7.5
"RM",16,8
"RM",19,9.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",16,8
"RM",19,9.5
"RM",18,9
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",20,10
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",18,9
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",15,7.5
"RM",16,8
"RM",15,7.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",15,7.5
"RM",16,8
"PM",18,9
"PM",18,9
"PM",18,9
"PM",20,10
"PM",20,10
"PM",21,10.5
"PM",21,10.5
"PM",19,9.5
"PM",21,10.5
"PM",20,10
"PM",20,10
"PM",19,9.5
"PM",21,10.5
"PM",19,9.5
"PM",21,10.5
"PM",19,9.5
"PM",20,10
"PM",20,10
"PM",19,9.5
"PM",22,11
"PM",20,10
"PM",21,10.5
"PM",19,9.5
"PM",21,10.5
"PM",21,10.5
"PM",20,10
"PM",20,10
"PM",19,9.5
"PM",20,10
"PM",21,10.5
"PM",20,10
"PM",20,10
"PM",21,10.5
"PM",20,10
"PM",24,12
"PM",21,10.5
"PM",21,10.5
"PM",19,9.5
"PM",19,9.5
"PM",18,9
"PM",19,9.5
"PM",20,10
"PM",20,10
"PM",20,10
"PM",20,10
"PM",20,10
"PM",20,10
"PM",20,10
"PM",20,10
"PM",21,10.5
"PM",20,10
"PM",21,10.5
"PM",21,10.5
"PM",22,11
"PM",20,10
"PM",20,10
"PM",20,10
"PM",21,10.5
"PM",20,10
"PM",21,10.5
"PM",21,10.5
"PM",22,11
"PM",20,10
"PM",21,10.5
"PM",19,9.5
"PM",19,9.5
"RF",17,8.5
"RF",19,9.5
"RF",19,9.5
"RF",17,8.5
"RF",19,9.5
"SO",25,12.5
"SO",21,10.5
"SO",28,14
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",25,12.5
"PB",25,12.5
"PB",25,12.5
"PL",20,10
"PL",20,10
"PL",20,10
"PL",19,9.5
"PL",21,10.5
"PL",21,10.5
"PL",21,10.5
"PL",20,10
"NL",27,13.5
"NL",25,12.5
"NL",28,14
"NL",28,14
"PF",14,7
"PF",16,8
"PF",13,6.5
"PF",15,7.5
"PF",16,8
"PF",14,7
"PF",15,7.5
"PF",15,7.5
"PF",16,8
"PF",17,8.5
"PF",15,7.5
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",12,6
"PF",15,7.5
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",15,7.5
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PE",21,10.5
"PE",20,10
"PE",19,9.5
"PE",17,8.5
"PE",17,8.5
"PE",20,10
"PP",20,10
"PP",22,11
"PP",20,10
"PP",20,10
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",24,12
"PP",22,11
"PP",20,10
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",24,12
"PP",21,10.5
"PP",16,8
"PP",18,9
"PP",14,7
"PP",21,10.5
"PP",20,10
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",20,10
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",24,12
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",24,12
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",23,11.5
"PP",24,12
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",24,12
"PP",20,10
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",24,12
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",20,10
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",20,10
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"OT",19,9.5
"OT",19,9.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",22,11
"OT",20,10
"OT",19,9.5
"OT",20,10
"OT",18,9
"OT",21,10.5
"OT",19,9.5
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",22,11
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",16,8
"OT",19,9.5
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",19,9.5
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",19,9.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",22,11
"OT",20,10
"OT",22,11
"OT",20,10
"OT",20,10
"OT",19,9.5
"OT",20,10
"OT",19,9.5
"OT",21,10.5
"OT",19,9.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",19,9.5
"OT",20,10
"OT",18,9
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",18,9
"OT",19,9.5
"OT",19,9.5
"DO",27,13.5
"DO",29,14.5
"OL",19,9.5
"OL",20,10
"OL",20,10
"OL",22,11
"OL",19,9.5
"OL",21,10.5
"OL",19,9.5
"OL",22,11
"OL",19,9.5
"OL",21,10.5
"OL",21,10.5
"OL",22,11
"OL",20,10
"OL",19,9.5
"OL",22,11
"OL",21,10.5
"OL",21,10.5
"OL",22,11
"OL",20,10
"OL",21,10.5
"OL",22,11
"OL",20,10
"OL",19,9.5
"OL",20,10
"OL",22,11
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",22,11
"OL",22,11
"OL",21,10.5
"OL",22,11
"OL",21,10.5
"OL",22,11
"OL",22,11
"OL",22,11
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",19,9.5
"OL",21,10.5
"OL",20,10
"OL",23,11.5
"OL",20,10
"RM",16,8
"RM",15,7.5
"RM",18,9
"RM",17,8.5
"RM",15,7.5
"RM",15,7.5
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",17,8.5
"RM",18,9
"RM",18,9
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"PM",22,11
"PM",22,11
"PM",20,10
"PM",21,10.5
"PM",20,10
"PM",20,10
"PM",21,10.5
"PM",22,11
"PM",21,10.5
"PM",21,10.5
"PM",20,10
"PM",20,10
"PM",22,11
"PM",20,10
"PM",20,10
"PH",26,13
"PH",23,11.5
"PH",25,12.5
"BA",14,7
"RO",17,8.5
"PB",24,12
"PB",25,12.5
"PB",26,13
"PB",27,13.5
"PB",28,14
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",25,12.5
"PB",25,12.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",29,14.5
"PB",26,13
"PB",27,13.5
"PB",27,13.5
"PB",28,14
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",26,13
"PB",27,13.5
"PB",25,12.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",27,13.5
"PB",29,14.5
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",25,12.5
"PB",28,14
"PB",25,12.5
"PB",26,13
"PB",25,12.5
"PB",29,14.5
"PB",26,13
"PB",29,14.5
"PB",27,13.5
"PB",24,12
"PB",26,13
"PB",25,12.5
"PB",25,12.5
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",28,14
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",28,14
"PB",28,14
"PB",28,14
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",28,14
"PB",28,14
"PB",26,13
"PB",23,11.5
"PB",25,12.5
"PB",27,13.5
"PB",27,13.5
"PB",27,13.5
"PB",26,13
"PB",28,14
"PB",27,13.5
"DM",26,13
"PF",12,6
"PF",9,4.5
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",14,7
"PF",14,7
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",15,7.5
"PF",15,7.5
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",15,7.5
"PF",15,7.5
"PF",14,7
"PF",16,8
"PF",17,8.5
"PF",17,8.5
"PF",16,8
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",15,7.5
"PF",16,8
"PF",16,8
"PF",14,7
"PF",16,8
"PF",16,8
"PF",14,7
"PF",15,7.5
"PF",15,7.5
"PE",22,11
"PE",19,9.5
"PE",20,10
"PE",18,9
"PE",21,10.5
"PE",20,10
"PE",20,10
"PE",20,10
"PE",20,10
"PP",22,11
"PP",20,10
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",20,10
"PP",24,12
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",24,12
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",23,11.5
"PP",24,12
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",20,10
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",23,11.5
"PP",24,12
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",23,11.5
"PP",21,10.5
"PP",23,11.5
"PP",24,12
"PP",23,11.5
"PP",21,10.5
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",20,10
"PP",24,12
"PP",22,11
"PP",20,10
"PP",21,10.5
"PP",21,10.5
"PP",20,10
"PP",24,12
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",20,10
"PP",20,10
"PP",22,11
"PP",20,10
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",20,10
"PP",21,10.5
"PP",23,11.5
"PP",19,9.5
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",20,10
"PP",20,10
"PP",20,10
"PP",20,10
"PP",19,9.5
"PP",21,10.5
"PP",19,9.5
"PP",19,9.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",20,10
"PP",21,10.5
"PP",19,9.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",20,10
"PP",20,10
"PP",20,10
"PP",21,10.5
"PP",20,10
"PP",22,11
"PP",20,10
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",20,10
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",21,10.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",21,10.5
"PP",22,11
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",21,10.5
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",22,11
"PP",23,11.5
"PP",23,11.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"PP",21,10.5
"PP",23,11.5
"PP",21,10.5
"PP",21,10.5
"PP",22,11
"OT",15,7.5
"OT",16,8
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",18,9
"OT",19,9.5
"OT",21,10.5
"OT",21,10.5
"OT",19,9.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",19,9.5
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",18,9
"OT",21,10.5
"OT",22,11
"OT",20,10
"OT",20,10
"OT",20,10
"OT",16,8
"OT",22,11
"OT",22,11
"OT",20,10
"OT",21,10.5
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",22,11
"OT",20,10
"OT",21,10.5
"OT",19,9.5
"OT",21,10.5
"OT",20,10
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",19,9.5
"OT",19,9.5
"OT",20,10
"OT",29,14.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",21,10.5
"OT",19,9.5
"OT",20,10
"OT",19,9.5
"OT",22,11
"OT",21,10.5
"OT",20,10
"OT",22,11
"OT",20,10
"OT",21,10.5
"OT",21,10.5
"OT",20,10
"OT",20,10
"OT",21,10.5
"OT",20,10
"OT",18,9
"OT",20,10
"OT",20,10
"OT",20,10
"OT",19,9.5
"OT",20,10
"OT",20,10
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",21,10.5
"OL",21,10.5
"OL",20,10
"OL",22,11
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",20,10
"OL",23,11.5
"OL",20,10
"OL",19,9.5
"OL",20,10
"OL",21,10.5
"OL",19,9.5
"OL",21,10.5
"OL",20,10
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",19,9.5
"OL",22,11
"OL",20,10
"OL",19,9.5
"OL",22,11
"OL",21,10.5
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",20,10
"OL",20,10
"OL",20,10
"OL",19,9.5
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",17,8.5
"OL",15,7.5
"OL",15,7.5
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"OL",21,10.5
"OL",20,10
"OL",21,10.5
"RM",16,8
"RM",16,8
"RM",16,8
"RM",18,9
"RM",18,9
"RM",18,9
"RM",15,7.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"RM",16,8
"RM",17,8.5
"RM",17,8.5
"PM",20,10
"PM",19,9.5
"PM",21,10.5
"PM",20,10
"PM",20,10
"PM",21,10.5
"PM",20,10
"PI",23,11.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",27,13.5
"PB",27,13.5
"PB",27,13.5
"PB",25,12.5
"PB",25,12.5
"PB",25,12.5
"PB",27,13.5
"PB",26,13
"PB",25,12.5
"PB",25,12.5
"PB",25,12.5
"PB",24,12
"PB",25,12.5
"PB",24,12
"PB",24,12
"PB",25,12.5
"PB",24,12
"PB",24,12
"PB",27,13.5
"PB",25,12.5
"PB",26,13
"PB",27,13.5
"PB",25,12.5
"PB",25,12.5
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",26,13
"PB",25,12.5
"PB",26,13
"PB",26,13
"PB",24,12
"PB",25,12.5
"PB",25,12.5
"PB",27,13.5
"PB",27,13.5
"PB",25,12.5
"PB",26,13
"PB",28,14
"PB",25,12.5
"PB",27,13.5
"PB",25,12.5
"PB",27,13.5
"PB",26,13
"PB",27,13.5
"PB",28,14
"PB",27,13.5
